EVALUATION_METRICS,RECOMMENDER_METRIC,RECOMMENDER,CONFORMITY,TRADEOFF,DISTRIBUTION_LABEL,CALIBRATION_MEASURE,RELEVANCE,SELECTOR_LABEL,TRADEOFF_WEIGHT
0.0492078329801429,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,VAR
0.04959927082048588,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,CGR
0.03485412485377176,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.0
0.04848925665549168,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.1
0.04907981918142038,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.2
0.0490423529587646,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.3
0.0492752755446422,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.4
0.04932196583209068,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.5
0.04927172308370806,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.6
0.0495050642657189,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.7
0.04929324714737952,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.8
0.0492519873972665,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.9
0.04959927082048588,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@1.0
