EVALUATION_METRICS,RECOMMENDER_METRIC,RECOMMENDER,CONFORMITY,TRADEOFF,DISTRIBUTION_LABEL,CALIBRATION_MEASURE,RELEVANCE,SELECTOR_LABEL,TRADEOFF_WEIGHT
0.11775423174528414,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,VAR
0.1187220110554228,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,CGR
0.08886440849002648,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.0
0.11698509872515042,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.1
0.11809884474942148,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.2
0.11752377962408558,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.3
0.1180111638093742,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.4
0.1180611524101045,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.5
0.11782073994341466,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.6
0.1181078894158714,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.7
0.11787668980157787,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.8
0.11768690130474913,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.9
0.1187220110554228,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@1.0
