EVALUATION_METRICS,RECOMMENDER_METRIC,RECOMMENDER,CONFORMITY,TRADEOFF,DISTRIBUTION_LABEL,CALIBRATION_MEASURE,RELEVANCE,SELECTOR_LABEL,TRADEOFF_WEIGHT
0.00718183623814484,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,VAR
0.00709322293394236,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,CGR
0.00386776486750412,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.0
0.00761081318172032,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.1
0.00748051045235608,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.2
0.00726370475197376,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.3
0.00719468444312028,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.4
0.0072899597795322,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.5
0.00726308406574304,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.6
0.00723838075376132,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.7
0.00708490573845104,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.8
0.00708211265041294,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.9
0.00709322293394236,MRR,SVD,MRR,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@1.0
