EVALUATION_METRICS,RECOMMENDER_METRIC,RECOMMENDER,CONFORMITY,TRADEOFF,DISTRIBUTION_LABEL,CALIBRATION_MEASURE,RELEVANCE,SELECTOR_LABEL,TRADEOFF_WEIGHT
0.01081258083480302,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,VAR
0.01025587889476774,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,CGR
0.00972054673721334,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.0
0.01199885361552024,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.1
0.01170814226925334,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.2
0.01182225161669604,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.3
0.01184106407995292,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.4
0.01178944738389178,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.5
0.01175511463844794,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.6
0.01181972369194586,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.7
0.01135905349794234,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.8
0.01129450323339204,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@0.9
0.01025587889476774,MAP,SVD,MAP,LIN,CWS,VICIS_EMANON2,NDCG,SURROGATE,C@1.0
